[0.000000] (-) TimerEvent: {}
[0.000338] (-) JobUnselected: {'identifier': 'cmake_helpers'}
[0.000368] (-) JobUnselected: {'identifier': 'game_engine'}
[0.000384] (-) JobUnselected: {'identifier': 'manager_utils'}
[0.000393] (-) JobUnselected: {'identifier': 'resource_builder'}
[0.000405] (-) JobUnselected: {'identifier': 'resource_utils'}
[0.000420] (-) JobUnselected: {'identifier': 'robo_cleaner_common'}
[0.000434] (-) JobUnselected: {'identifier': 'robo_cleaner_gui'}
[0.000443] (-) JobUnselected: {'identifier': 'robo_cleaner_interfaces'}
[0.000455] (-) JobUnselected: {'identifier': 'robo_collector_bringup'}
[0.000464] (-) JobUnselected: {'identifier': 'robo_collector_common'}
[0.000472] (-) JobUnselected: {'identifier': 'robo_collector_controller'}
[0.000484] (-) JobUnselected: {'identifier': 'robo_collector_gui'}
[0.000496] (-) JobUnselected: {'identifier': 'robo_collector_interfaces'}
[0.000505] (-) JobUnselected: {'identifier': 'robo_common'}
[0.000513] (-) JobUnselected: {'identifier': 'robo_miner_common'}
[0.000576] (-) JobUnselected: {'identifier': 'robo_miner_gui'}
[0.000596] (-) JobUnselected: {'identifier': 'robo_miner_interfaces'}
[0.000861] (-) JobUnselected: {'identifier': 'ros2_game_engine'}
[0.000883] (-) JobUnselected: {'identifier': 'sdl_utils'}
[0.000895] (-) JobUnselected: {'identifier': 'ur_bringup'}
[0.000903] (-) JobUnselected: {'identifier': 'ur_client_library'}
[0.000912] (-) JobUnselected: {'identifier': 'ur_control_gui'}
[0.000920] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.000928] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.000936] (-) JobUnselected: {'identifier': 'ur_description'}
[0.000944] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.000951] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.000959] (-) JobUnselected: {'identifier': 'urscript_bridge'}
[0.000966] (-) JobUnselected: {'identifier': 'urscript_common'}
[0.000974] (-) JobUnselected: {'identifier': 'urscript_interfaces'}
[0.000982] (-) JobUnselected: {'identifier': 'utils'}
[0.000990] (-) EventReactorShutdown: {}
